VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS
179;"Sedma - strana pro Slatiňany, Škrovád, Trpišov, Kunčí, Presy, Podhůru a Kochánovice";"Sedma-strana pro obec Slatiňany a její osady";"Sedma-str.pro obec Slatiňany";"Sedma";1;"179";"Sedma";"S"
180;"Klub sociálně demokratické orientace";"Klub sociálně demokratické orientace";"Klub sociál.demokrat.orientace";"KSDO";1;"180";"";"S"
181;"Nestraníci";"Nestraníci";"Nestraníci";"Nestran.";1;"181";"NK";"S"
182;"Karlovarská občanská alternativa";"Karlovarská občanská alternativa";"Karlovar.občanská alternativa";"KOA";1;"182";"KOA";"S"
183;"Alternativa pro občany";"Alternativa pro občany";"Alternativa pro občany";"AO";1;"183";"AO";"S"
184;"Hnutí LEPŠÍ ŘEPY";"Hnutí LEPŠÍ ŘEPY";"Hnutí LEPŠÍ ŘEPY";"HLŘ";1;"184";"HLŘ";"S"
185;"Patrioti - hnutí za lepší Ústí n.L.";"Patrioti - Hnutí za lepší Ústí n.L.";"Patrioti-Hn.za lepší Ústí n.L.";"P-HLÚ";1;"185";"";"S"
186;"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"HZLB";1;"186";"";"S"
187;"Občansko demokratické sdružení Zlín";"Občansko demokratické sdružení Zlín";"Občansko demokr.sdružení Zlín";"ODSZ";1;"187";"";"S"
188;"SEMILÁCI";"SEMILÁCI";"SEMILÁCI";"PSS";1;"188";"PSS";"S"
189;"Zlínské sdružení živnostníků a podnikatelů";"Zlínské sdružení živnostníků a podnikatelů";"Zlín.sdruž.živnost.a podnikat.";"ZSŽP";1;"189";"";"S"
190;"Mimoňská obroda";"Mimoňská obroda";"Mimoňská obroda";"OHMO";1;"190";"OHMO";"S"
191;"MĚSTO I MLÁDEŽI";"MĚSTO I MLÁDEŽI";"MĚSTO I MLÁDEŽI";"MIM";1;"191";"";"S"
192;"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU";1;"192";"HLAVU VZHŮRU";"S"
193;"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"VpMB";1;"193";"VpMB";"S"
194;"ZVON";"ZVON";"ZVON";"PHZ";1;"194";"PHZ";"S"
195;"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"HPP 11";1;"195";"HpP";"S"
196;"Strana Svobody";"Strana Svobody";"Strana Svobody";"Str.Svob";1;"196";"";"S"
197;"NESPOKOJENÍ OBČANÉ!";"NESPOKOJENÍ OBČANÉ!";"NESPOKOJENÍ OBČANÉ!";"NO!";1;"197";"NO!";"S"
198;"Republikánská strana Čech, Moravy a Slezska";"Republikánská strana Čech, Moravy a Slezska";"Republ.str.Čech,Moravy a Slez.";"RSČMS";1;"198";"RSČMS";"S"
199;"Klíčové hnutí";"Klíčové hnutí";"Klíčové hnutí";"KH";1;"199";"KH";"S"
200;"Demokracie";"Demokracie";"Demokracie";"DK";1;"200";"DK";"S"
201;"Koalice KDU-ČSL, ČSNS";"Koalice KDU-ČSL, ČSNS";"Koalice KDU-ČSL, ČSNS";"";2;"001,002";"";"K"
202;"Koalice KDU-ČSL, ČSNS, US-DEU";"Koalice KDU-ČSL, ČSNS, US-DEU";"Koalice KDU-ČSL, ČSNS, US-DEU";"";3;"001,002,102";"";"K"
203;"Koalice KDU-ČSL, SZ, DEU";"Koalice KDU-ČSL, SZ, DEU";"Koalice KDU-ČSL, SZ, DEU";"";3;"001,005,081";"";"K"
204;"Koalice KDU-ČSL, SZ, NEZ";"Koalice KDU-ČSL, SZ, NEZ";"Koalice KDU-ČSL, SZ, NEZ";"";3;"001,005,088";"";"K"
205;"Koalice KDU-ČSL, ODA";"Koalice KDU-ČSL, ODA";"Koalice KDU-ČSL, ODA";"";2;"001,013";"";"K"
206;"Koalice KDU-ČSL, ODA, ODS, US-DEU";"Koalice KDU-ČSL, ODA, ODS, US-DEU";"Koalice KDU-ČSL,ODA,ODS,US-DEU";"";4;"001,013,053,102";"";"K"
207;"Koalice KDU-ČSL, ODA, DEU";"Koalice KDU-ČSL, ODA, DEU";"Koalice KDU-ČSL, ODA, DEU";"";3;"001,013,081";"";"K"
208;"Čtyřkoalice";"Čtyřkoalice";"Čtyřkoalice";"4KOALICE";4;"001,013,081,102";"";"K"
209;"Koalice KDU-ČSL, KSČM";"Koalice KDU-ČSL, KSČM";"Koalice KDU-ČSL, KSČM";"";2;"001,047";"";"K"
210;"Koalice KDU-ČSL, ODS";"Koalice KDU-ČSL, ODS";"Koalice KDU-ČSL, ODS";"KDU-ČSL+ODS";2;"001,053";"";"K"
211;"Koalice KDU-ČSL, ODS, US-DEU";"Koalice KDU-ČSL, ODS, US-DEU";"Koalice KDU-ČSL, ODS, US-DEU";"";3;"001,053,102";"";"K"
212;"Koalice KDU-ČSL, DEU";"Koalice KDU-ČSL, DEU";"Koalice KDU-ČSL, DEU";"";2;"001,081";"";"K"
213;"Koalice KDU-ČSL, DEU, US";"Koalice KDU-ČSL, DEU, US";"Koalice KDU-ČSL, DEU, US";"";3;"001,081,102";"";"K"
215;"Koalice KDU-ČSL, NEZ";"Koalice KDU-ČSL, NEZ";"Koalice KDU-ČSL, NEZ";"";2;"001,088";"";"K"
216;"Koalice KDU-ČSL, US-DEU";"Koalice KDU-ČSL, US-DEU";"Koalice KDU-ČSL, US-DEU";"";2;"001,102";"";"K"
217;"Koalice KDU-ČSL, SOS";"Koalice KDU-ČSL, SOS";"Koalice KDU-ČSL, SOS";"";2;"001,103";"";"K"
218;"Koalice KDU-ČSL, SKS";"Koalice KDU-ČSL, SKS";"Koalice KDU-ČSL, SKS";"";2;"001,105";"";"K"
219;"Koalice ČSNS, SZ, KAN, NEZ";"Koalice ČSNS, SZ, KAN, NEZ";"Koalice ČSNS, SZ, KAN, NEZ";"";4;"002,005,040,088";"";"K"
220;"Koalice ČSNS, SZ, DEU";"Koalice ČSNS, SZ, DEU";"Koalice ČSNS, SZ, DEU";"";3;"002,005,081";"";"K"
221;"Koalice ČSNS, ČSSD";"Koalice ČSNS, ČSSD";"Koalice ČSNS, ČSSD";"";2;"002,007";"";"K"
222;"Koalice ČSNS, ODA";"Koalice ČSNS, ODA";"Koalice ČSNS, ODA";"";2;"002,013";"";"K"
223;"Koalice ČSNS, SŽJ";"Koalice ČSNS, SŽJ";"Koalice ČSNS, SŽJ";"";2;"002,020";"";"K"
224;"Koalice ČSNS, ODS";"Koalice ČSNS, ODS";"Koalice ČSNS, ODS";"";2;"002,053";"";"K"
225;"Koalice ČSNS, DEU";"Koalice ČSNS, DEU";"Koalice ČSNS, DEU";"";2;"002,081";"";"K"
226;"Koalice ČSNS, US-DEU";"Koalice ČSNS, US-DEU";"Koalice ČSNS, US-DEU";"";2;"002,102";"";"K"
227;"Koalice SZ, ČSSD";"Koalice SZ, ČSSD";"Koalice SZ, ČSSD";"SZ+ČSSD";2;"005,007";"";"K"
228;"Koalice SZ, ODA";"Koalice SZ, ODA";"Koalice SZ, ODA";"";2;"005,013";"";"K"
229;"Koalice SZ, KAN, NEZ";"Koalice SZ, KAN, NEZ";"Koalice SZ, KAN, NEZ";"";3;"005,040,088";"";"K"
230;"Koalice ČSSD, SŽJ";"Koalice ČSSD, SŽJ";"Koalice ČSSD, SŽJ";"";2;"007,020";"";"K"
231;"Koalice ČSSD, KSČM";"Koalice ČSSD, KSČM";"Koalice ČSSD, KSČM";"";2;"007,047";"";"K"
232;"Koalice ČSSD, ODS";"Koalice ČSSD, ODS";"Koalice ČSSD, ODS";"";2;"007,053";"";"K"
233;"Koalice ČSSD, SDS";"Koalice ČSSD, SDS";"Koalice ČSSD, SDS";"";2;"007,074";"";"K"
234;"Koalice ČSSD, Moravané";"Koalice ČSSD, Moravané";"Koalice ČSSD, Moravané";"";2;"007,083";"";"K"
235;"Koalice ČSSD, SV SOS";"Koalice ČSSD, SV SOS";"Koalice ČSSD, SV SOS";"";2;"007,101";"";"K"
236;"Koalice SPR-RSČ, ND";"Koalice SPR-RSČ, ND";"Koalice SPR-RSČ, ND";"";2;"011,079";"";"K"
237;"Koalice SPR-RSČ, ND, MoDS";"Koalice SPR-RSČ, ND, MoDS";"Koalice SPR-RSČ, ND, MoDS";"";3;"011,079,082";"";"K"
238;"Koalice ODA, KAN, DEU";"Koalice ODA, KAN, DEU";"Koalice ODA, KAN, DEU";"";3;"013,040,081";"";"K"
