VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS
463;"Sdružení SN, NK";"Sdružení SN, NK";"Sdružení SN, NK";"";2;"080,158";"";"D"
464;"Sdružení Moravané, NK";"Sdružení Moravané, NK";"Sdružení Moravané, NK";"";2;"080,083";"";"D"
465;"Sdružení DEUČR, NK";"Sdružení DEUČR, NK";"Sdružení DEUČR, NK";"";2;"080,157";"";"D"
466;"Sdružení SNK ED, SZ, NK";"Sdružení SNK ED, SZ, NK";"Sdružení SNK ED, SZ, NK";"";3;"005,080,129";"";"D"
467;"Sdružení SZ, NEZ, NK";"Sdružení SZ, NEZ, NK";"Sdružení SZ, NEZ, NK";"";3;"005,080,088";"";"D"
468;"Sdružení MDS, ČSNS2005, SOS, NK";"Sdružení MDS, ČSNS2005, SOS, NK";"Sdružení MDS,ČSNS2005,SOS,NK";"";4;"068,080,103,175";"";"D"
469;"Sdružení US-DEU, SNK ED, NK";"Sdružení US-DEU, SNK ED, NK";"Sdružení US-DEU, SNK ED, NK";"";3;"080,102,129";"";"D"
470;"Sdružení STAN, NK";"Sdružení STAN, NK";"Sdružení STAN, NK";"";2;"080,166";"";"D"
471;"Sdružení ZHN, NK";"Sdružení ZHN, NK";"Sdružení ZHN, NK";"";2;"080,109";"";"D"
472;"Sdružení US-DEU, SOS, NK";"Sdružení US-DEU, SOS, NK";"Sdružení US-DEU, SOS, NK";"";3;"080,102,103";"";"D"
473;"Sdružení KDU-ČSL, ČSSD, US-DEU, NK";"Sdružení KDU-ČSL, ČSSD, US-DEU, NK";"Sdruž.KDU-ČSL,ČSSD,US-DEU,NK";"";4;"001,007,080,102";"";"D"
474;"Sdružení ČSSD, KSČM, NK";"Sdružení ČSSD, KSČM, NK";"Sdružení ČSSD, KSČM, NK";"";3;"007,047,080";"";"D"
475;"Sdružení SLK, NK";"Sdružení SLK, NK";"Sdružení SLK, NK";"";2;"080,703";"";"D"
476;"Sdružení ALTERNATIVA, NK";"Sdružení ALTERNATIVA, NK";"Sdružení ALTERNATIVA, NK";"";2;"080,702";"";"D"
477;"Sdružení Svobodní, NK";"Sdružení Svobodní, NK";"Sdružení Svobodní, NK";"";2;"080,714";"";"D"
478;"Sdružení Nový Impuls, NK";"Sdružení Nový Impuls, NK";"Sdružení Nový Impuls, NK";"";2;"080,726";"";"D"
479;"Sdružení KDU-ČSL, SZ, NK";"Sdružení KDU-ČSL, SZ, NK";"Sdružení KDU-ČSL, SZ, NK";"";3;"001,005,080";"";"D"
480;"Sdružení TOP 09, NK";"Sdružení TOP 09, NK";"Sdružení TOP 09, NK";"";2;"080,721";"";"D"
481;"Sdružení Klíčové hnutí, NK";"Sdružení Klíčové hnutí, NK";"Sdružení KH, NK";"";2;"080,199";"";"D"
482;"Sdružení DSZ, NK";"Sdružení DSZ, NK";"Sdružení DSZ, NK";"";2;"080,715";"";"D"
483;"Sdružení SPO, NK";"Sdružení SPO, NK";"Sdružení SPO, NK";"";2;"080,724";"";"D"
484;"Sdružení SZ, VV, NK";"Sdružení SZ, VV, NK";"Sdružení SZ, VV, NK";"";3;"005,080,144";"";"D"
485;"Sdružení SZ, ALTERNATIVA, Klíčové hnutí, Zelení, NK";"Sdruž.SZ, ALTERNATIVA, Klíčové hnutí, Zelení, NK";"Sdružení SZ, ALTER, KH, Z, NK";"";5;"005,080,177,199,702";"";"D"
486;"Sdružení KDU-ČSL, SNK ED, NK";"Sdružení KDU-ČSL, SNK ED, NK";"Sdružení KDU-ČSL, SNK ED, NK";"";3;"001,080,129";"";"D"
487;"Sdružení SZ, US-DEU, STAN, TOP 09, NK";"Sdružení SZ, US-DEU, STAN, TOP 09, NK";"Sdr.SZ,US-DEU,STAN,TOP 09,NK";"";5;"005,080,102,166,721";"";"D"
488;"Sdružení Věci veřejné, NK";"Sdružení Věci veřejné, NK";"Sdružení VV, NK";"";2;"080,144";"";"D"
489;"Sdružení Strana Práv Občanů, Strana zelených, NK";"Sdruž.Str.Práv Občanů, Str.zelených, NK";"Sdružení SPO, SZ, NK";"";3;"005,080,724";"";"D"
490;"Sdružení ALTER., KČ, SOS, SNK ED, US-DEU, NK";"Sdružení ALTER., KČ, SOS, SNK ED, US-DEU, NK";"ALTER.,KČ,SOS,SNK ED,US-DEU,NK";"";6;"055,080,102,103,129,702";"";"D"
491;"Sdružení Věci veřejné, SNK Evropští demokraté, NK";"Sdružení Věci veřejné, SNK Evropští demokraté, NK";"Sdružení VV, SNK ED, NK";"";3;"080,129,144";"";"D"
492;"Sdružení Severočeši.cz, NK";"Sdružení Severočeši, NK";"Sdružení Severočeši, NK";"";2;"080,704";"";"D"
493;"Sdružení Rozumní, NK";"Sdružení Rozumní, NK";"Sdružení Rozumní, NK";"";2;"080,137";"";"D"
494;"Sdružení KDU-ČSL, US-DEU, SNK ED, NK";"Sdružení KDU-ČSL, US-DEU, SNK ED, NK";"Sdruž.KDU-ČSL,US-DEU,SNK ED,NK";"";4;"001,080,102,129";"";"D"
495;"Sdružení TOP 09, STAN, NK";"Sdružení TOP 09, STAN, NK";"Sdružení TOP 09, STAN, NK";"";3;"080,166,721";"";"D"
496;"Sdružení "HOPB", STAN, NK";"Sdružení "HOPB", STAN, NK";"Sdružení "HOPB", STAN, NK";"";3;"080,166,753";"";"D"
497;"Sdružení SsČR, NK";"Sdružení SsČR, NK";"Sdružení SsČR, NK";"";2;"080,716";"";"D"
498;"Sdružení SNK ED, SsČR, TOP 09, NK";"Sdružení SNK ED, SsČR, TOP 09, NK";"Sdružení SNK ED,SsČR,TOP 09,NK";"";4;"080,129,716,721";"";"D"
499;"Sdružení SLK, KDU-ČSL, NK";"Sdružení SLK, KDU-ČSL, NK";"Sdružení SLK, KDU-ČSL, NK";"";3;"001,080,703";"";"D"
500;"Sdružení KSČM, FiS, NK";"Sdružení KSČM, FiS, NK";"Sdružení KSČM, FiS, NK";"";3;"047,080,169";"";"D"
501;"Sdružení TOP 09, SZ, NK";"Sdružení TOP 09, SZ, NK";"Sdružení TOP 09, SZ, NK";"";3;"005,080,721";"";"D"
502;"Sdružení US-DEU, TOP 09, NK";"Sdružení US-DEU, TOP 09, NK";"Sdružení US-DEU, TOP 09, NK";"";3;"080,102,721";"";"D"
503;"Sdružení S.cz, STAN, NK";"Sdružení S.cz, STAN, NK";"Sdružení S.cz, STAN, NK";"";3;"080,166,704";"";"D"
504;"Sdružení FiS, NK";"Sdružení FiS, NK";"Sdružení FiS, NK";"";2;"080,169";"";"D"
505;"Sdružení KDU-ČSL, Nestran., NK";"Sdružení KDU-ČSL, Nestran., NK";"Sdružení KDU-ČSL,Nestran.,NK";"";3;"001,080,181";"";"D"
506;"Sdružení PVP, NK";"Sdružení PVP, NK";"Sdružení PVP, NK";"";2;"080,111";"";"D"
507;"Sdružení VV, VPM, NK";"Sdružení VV, VPM, NK";"Sdružení VV, VPM, NK";"";3;"080,113,144";"";"D"
508;"Sdružení Republika, NK";"Sdružení Republika, NK";"Sdružení Republika, NK";"";2;"080,1002";"";"D"
509;"Sdružení DOMOV, NK";"Sdružení DOMOV, NK";"Sdružení DOMOV, NK";"";2;"080,155";"";"D"
510;"Sdružení Změna, NK";"Sdružení Změna, NK";"Sdružení Změna, NK";"";2;"080,771";"";"D"
511;"Sdružení ZVUK 12, NK";"Sdružení ZVUK 12, NK";"Sdružení ZVUK 12, NK";"";2;"080,775";"";"D"
512;"Sdružení O.K. strana, NK";"Sdružení O.K. strana, NK";"Sdružení O.K. strana, NK";"";2;"080,1006";"";"D"
513;"Sdružení TOP 09, SLK, NK";"Sdružení TOP 09, SLK, NK";"Sdružení TOP 09, SLK, NK";"";3;"080,703,721";"";"D"
514;"Sdružení ČS, NK";"Sdružení ČS, NK";"Sdružení ČS, NK";"";2;"080,759";"";"D"
515;"Sdružení VČ, NK";"Sdružení VČ, NK";"Sdružení VČ, NK";"";2;"080,770";"";"D"
516;"Sdružení HNPD, NK";"Sdružení HNPD, NK";"Sdružení HNPD, NK";"";2;"080,167";"";"D"
517;"Sdružení SNOP13, NK";"Sdružení SNOP13, NK";"Sdružení SNOP13, NK";"";2;"080,787";"";"D"
518;"Sdružení B10.cz, NK";"Sdružení B10.cz, NK";"Sdružení B10.cz, NK";"";2;"080,747";"";"D"
519;"Sdružení OPAT, NK";"Sdružení OPAT, NK";"Sdružení OPAT, NK";"";2;"080,1022";"";"D"
520;"Sdružení Ú, NK";"Sdružení Ú, NK";"Sdružení Ú, NK";"";2;"080,796";"";"D"
521;"Sdružení SZ, Změna, NK";"Sdružení SZ, Změna, NK";"Sdružení SZ, Změna, NK";"";3;"005,080,771";"";"D"
522;"Sdružení PATRIOTI, NK";"Sdružení PATRIOTI, NK";"Sdružení PATRIOTI, NK";"";2;"080,776";"";"D"
523;"Sdružení ODS, TOP 09, NK";"Sdružení ODS, TOP 09, NK";"Sdružení ODS, TOP 09, NK";"";3;"053,080,721";"";"D"
524;"Sdružení Patrioti ČR, NK";"Sdružení Patrioti ČR, NK";"Sdružení Patrioti ČR, NK";"";2;"080,1004";"";"D"
525;"Sdružení Hora 2014, NK";"Sdružení Hora 2014, NK";"Sdružení Hora 2014, NK";"";2;"080,1024";"";"D"
526;"Sdružení Občané, Piráti, NK";"Sdružení Občané, Piráti, NK";"Sdružení Občané, Piráti, NK";"";3;"080,718,720";"";"D"
527;"Sdružení STO, NK";"Sdružení STO, NK";"Sdružení STO, NK";"";2;"080,779";"";"D"
528;"Sdružení SZ, Moravané, NK";"Sdružení SZ, Moravané, NK";"Sdružení SZ, Moravané, NK";"";3;"005,080,083";"";"D"
529;"Sdružení SZ, Piráti, NK";"Sdružení SZ, Piráti, NK";"Sdružení SZ, Piráti, NK";"";3;"005,080,720";"";"D"
530;"Sdružení NOS, NK";"Sdružení NOS, NK";"Sdružení NOS, NK";"";2;"080,793";"";"D"
531;"Sdružení AO, NK";"Sdružení AO, NK";"Sdružení AO, NK";"";2;"080,183";"";"D"
532;"Sdružení ANO 2011, NK";"Sdružení ANO 2011, NK";"Sdružení ANO 2011, NK";"";2;"080,768";"";"D"
533;"Sdružení KSČM, SPO, NK";"Sdružení KSČM, SPO, NK";"Sdružení KSČM, SPO, NK";"";3;"047,080,724";"";"D"
534;"Sdružení SZ, VPM, STAN, NK";"Sdružení SZ, VPM, STAN, NK";"Sdružení SZ, VPM, STAN, NK";"";4;"005,080,113,166";"";"D"
535;"Sdružení KDU-ČSL, Piráti, LES, NK";"Sdružení KDU-ČSL, Piráti, LES, NK";"Sdružení KDU-ČSL,Piráti,LES,NK";"";4;"001,080,720,795";"";"D"
536;"Sdružení NS, NK";"Sdružení NS, NK";"Sdružení NS, NK";"";2;"080,1017";"";"D"
537;"Sdružení FairPlay, NK";"Sdružení FairPlay, NK";"Sdružení FairPlay, NK";"";2;"080,782";"";"D"
538;"Sdružení ČSR, NK";"Sdružení ČSR, NK";"Sdružení ČSR, NK";"";2;"080,756";"";"D"
539;"Sdružení SZ, Moravané, Změna, NK";"Sdružení SZ, Moravané, Změna, NK";"Sdružení SZ,Moravané,Změna,NK";"";4;"005,080,083,771";"";"D"
540;"Sdružení KDU-ČSL, TOP 09, NK";"Sdružení KDU-ČSL, TOP 09, NK";"Sdružení KDU-ČSL, TOP 09, NK";"";3;"001,080,721";"";"D"
541;"Sdružení Piráti, NK";"Sdružení Piráti, NK";"Sdružení Piráti, NK";"";2;"080,720";"";"D"
542;"Sdružení Svobodní, PATRIOTI, NK";"Sdružení Svobodní, PATRIOTI, NK";"Sdružení Svobodní,PATRIOTI,NK";"";3;"080,714,776";"";"D"
543;"Sdružení LES, NK";"Sdružení LES, NK";"Sdružení LES, NK";"";2;"080,795";"";"D"
544;"Sdružení HDK, NK";"Sdružení HDK, NK";"Sdružení HDK, NK";"";2;"080,1049";"";"D"
545;"Sdružení KPP, NK";"Sdružení KPP, NK";"Sdružení KPP, NK";"";2;"080,739";"";"D"
546;"Sdružení LEV 21, NK";"Sdružení LEV 21, NK";"Sdružení LEV 21, NK";"";2;"080,764";"";"D"
547;"Sdružení VZ, NK";"Sdružení VZ, NK";"Sdružení VZ, NK";"";2;"080,1045";"";"D"
548;"Sdružení VIZE, NK";"Sdružení VIZE, NK";"Sdružení VIZE, NK";"";2;"080,769";"";"D"
549;"Sdružení Občané, NK";"Sdružení Občané, NK";"Sdružení Občané, NK";"";2;"080,718";"";"D"
550;"Sdružení NBPLK, NK";"Sdružení NBPLK, NK";"Sdružení NBPLK, NK";"";2;"080,780";"";"D"
551;"Sdružení HPP, NK";"Sdružení HPP, NK";"Sdružení HPP, NK";"";2;"080,791";"";"D"
552;"Sdružení Piráti, LES, NK";"Sdružení Piráti, LES, NK";"Sdružení Piráti, LES, NK";"";3;"080,720,795";"";"D"
553;"Sdružení KDU-ČSL, KONS, Rozumní, NK";"Sdružení KDU-ČSL, KONS, Rozumní, NK";"Sdruž. KDU-ČSL,KONS,Rozumní,NK";"";4;"001,024,080,137";"";"D"
554;"Sdružení Úsvit, NK";"Sdružení Úsvit, NK";"Sdružení Úsvit, NK";"";2;"080,792";"";"D"
555;"Sdružení DOMA, NK";"Sdružení DOMA, NK";"Sdružení DOMA, NK";"";2;"080,1061";"";"D"
556;"Sdružení PRO, NK";"Sdružení PRO, NK";"Sdružení PRO, NK";"";2;"080,774";"";"D"
557;"Sdružení "Z", NK";"Sdružení "Z", NK";"Sdružení "Z", NK";"";2;"080,177";"";"D"
558;"Sdružení ŽTB, NK";"Sdružení ŽTB, NK";"Sdružení ŽTB, NK";"";2;"080,1026";"";"D"
559;"Sdružení KDU-ČSL, NEZ, NK";"Sdružení KDU-ČSL, NEZ, NK";"Sdružení KDU-ČSL, NEZ, NK";"";3;"001,080,088";"";"D"
560;"Sdružení SD-SN, Patrioti ČR, NK";"Sdružení SD-SN, Patrioti ČR, NK";"Sdružení SD-SN,Patrioti ČR,NK";"";3;"080,143,1004";"";"D"
561;"Sdružení SNK ED, SD-SN, NK";"Sdružení SNK ED, SD-SN, NK";"Sdružení SNK ED, SD-SN, NK";"";3;"080,129,143";"";"D"
562;"Sdružení SZ, STAN, Piráti, NK";"Sdružení SZ, STAN, Piráti, NK";"Sdružení SZ, STAN, Piráti, NK";"";4;"005,080,166,720";"";"D"
563;"Sdružení ODS, Úsvit, NK";"Sdružení ODS, Úsvit, NK";"Sdružení ODS, Úsvit, NK";"";3;"080,053,792";"";"D"
565;"Sdružení Úsvit, VZ, NK";"Sdružení Úsvit, VZ, NK";"Sdružení Úsvit, VZ, NK";"";3;"080,792,1045";"";"D"
566;"Sdružení PSZ, NK";"Sdružení PSZ, NK";"Sdružení PSZ, NK";"";2;"080,785";"";"D"
567;"Sdružení SZ, STAN, NK";"Sdružení SZ, STAN, NK";"Sdružení SZ, STAN, NK";"";3;"005,080,166";"";"D"
568;"Sdružení KDU-ČSL, LES, NK";"Sdružení KDU-ČSL, LES, NK";"Sdružení KDU-ČSL, LES, NK";"";3;"001,080,795";"";"D"
569;"Sdružení KDU-ČSL, SZ, STAN, NK";"Sdružení KDU-ČSL, SZ, STAN, NK";"Sdružení KDU-ČSL, SZ, STAN, NK";"";4;"001,005,080,166";"";"D"
570;"Sdružení SZ, LES, NK";"Sdružení SZ, LES, NK";"Sdružení SZ, LES, NK";"";3;"005,080,795";"";"D"
571;"Sdružení KDU-ČSL, Piráti, NK";"Sdružení KDU-ČSL, Piráti, NK";"Sdružení KDU-ČSL, Piráti, NK";"";3;"001,080,720";"";"D"
572;"Sdružení KDU-ČSL, ZVUK 12, NK";"Sdružení KDU-ČSL, ZVUK 12, NK";"Sdružení KDU-ČSL, ZVUK 12, NK";"";3;"001,080,775";"";"D"
573;"Sdružení ČSSD, SPO, NK";"Sdružení ČSSD, SPO, NK";"Sdružení ČSSD, SPO, NK";"";3;"007,080,724";"";"D"
574;"Sdružení SZ, SNK ED, Piráti, NK";"Sdružení SZ, SNK ED, Piráti, NK";"Sdružení SZ,SNK ED,Piráti,NK";"";4;"005,080,129,720";"";"D"
576;"Koalice Strana práce a Nespokojení občané!";"Koalice SP a NO!";"Koalice SP a NO!";"Koal.  SP a NO!";2;"159,197";"Koalice SP a NO!";"K"
577;"Koalice STAN, SLK, TOP 09";"Koalice STAN, SLK, TOP 09";"Koalice STAN, SLK, TOP 09";"STSLKTOP";3;"166,703,721";"";"K"
578;"Koalice KDU-ČSL, SZ, OCJJ";"Koalice KDU-ČSL, SZ, OCJJ";"Koalice KDU-ČSL, SZ, OCJJ";"KDUSZOCJ";3;"001,005,743";"";"K"
579;"Koalice SZ, HNHRM, B10.cz";"Koalice SZ, HNHRM, B10.cz";"Koalice SZ, HNHRM, B10.cz";"SZ+HNHRM+B10.cz";3;"005,112,747";"";"K"
580;"Koalice Občané, SP, OBČ_2011";"Koalice Občané, SP, OBČ_2011";"Koalice Občané, SP, OBČ_2011";"ObčanéSP";3;"159,718,762";"";"K"
581;"Koalice SNK ED a SZSP";"Koalice SNK ED a SZSP";"Koalice SNK ED a SZSP";"NKEDSZSP";2;"129,142";"";"K"
582;"Koalice SPO a Češi";"Koalice SPO a Češi";"Koalice SPO a Češi";"SPO+Češi";2;"724,777";"";"K"
583;"Koalice MDS a ZH";"Koalice MDS a ZH";"Koalice MDS a ZH";"MDS+ZH";2;"068,752";"";"K"
584;"Koalice SZ a Změna";"Koalice SZ a Změna";"Koalice SZ a Změna";"SZ+Změna";2;"005,771";"";"K"
585;"Koalice KDU-ČSL a SsČR";"Koalice KDU-ČSL a SsČR";"Koalice KDU-ČSL a SsČR";"KDUČSLSs";2;"001,716";"";"K"
586;"Koalice KONS a ČS";"Koalice KONS a ČS";"Koalice KONS a ČS";"KONS+ČS";2;"024,759";"";"K"
587;"Koalice KONS a SsČR";"Koalice KONS a SsČR";"Koalice KONS a SsČR";"KONSSsČR";2;"024,716";"";"K"
588;"Koalice ZHN a Doktoři";"Koalice ZHN a Doktoři";"Koalice ZHN a Doktoři";"ZHN+Dokt";2;"109,701";"";"K"
589;"Koalice SNK ED a SsČR";"Koalice SNK ED a SsČR";"Koalice SNK ED a SsČR";"SNKED+Ss";2;"129,716";"";"K"
590;"Koalice SNK ED a ALTERNATIVA";"Koalice SNK ED a ALTERNATIVA";"Koalice SNK ED a ALTERNATIVA";"SNKED+AL";2;"129,702";"";"K"
591;"Koalice KDU-ČSL, Nestraníci, SsČR";"Koalice KDU-ČSL, Nestraníci, SsČR";"Koalice KDU-ČSL,Nestran.,SsČR";"KDUNesSs";3;"001,181,716";"";"K"
592;"Koalice SNK ED a ML";"Koalice SNK ED a ML";"Koalice SNK ED a ML";"SNKED+ML";2;"129,147";"";"K"
593;"Koalice SNK ED a Nestraníci";"Koalice SNK ED a Nestraníci";"Koalice SNK ED a Nestraníci";"SNKED+NE";2;"129,181";"";"K"
594;"Koalice KDU-ČSL a NV";"Koalice KDU-ČSL a NV";"Koalice KDU-ČSL a NV";"KDU+NV";2;"001,163";"";"K"
595;"Koalice KDU-ČSL, SZ, Piráti";"Koalice KDU-ČSL, SZ, Piráti";"Koalice KDU-ČSL, SZ, Piráti";"PirSZKDU";3;"001,005,720";"";"K"
596;"Koalice STAN a "HOPB"";"Koalice STAN a "HOPB"";"Koalice STAN a "HOPB"";"STANHOPB";2;"166,753";"";"K"
597;"Koalice ČSNS a KAN";"Koalice ČSNS a KAN";"Koalice ČSNS a KAN";"ČSNS+KAN";2;"002,040";"";"K"
598;"Koalice SBB a Rozumní";"Koalice SBB a Rozumní";"Koalice SBB a Rozumní";"SBB+Rozumní";2;"137,759";"";"K"
599;"Koalice KDU-ČSL, SZ, HNHRM";"Koalice KDU-ČSL, SZ, HNHRM";"Koalice KDU-ČSL, SZ, HNHRM";"KDUSZHRM";3;"001,005,112";"";"K"
600;"Dělnická strana sociální spravedlnosti - Imigranty a islám v ČR nechceme!";"Koalice DSSS a NF";"Koalice DSSS a NF";"DSSS+NF";2;"156,761";"";"K"
601;"Koalice SONOB, Z";"Koalice SONOB, Z";"Koalice SONOB, Z";"";2;"148,177";"";"K"
602;"Koalice DS, ND";"Koalice DS, ND";"Koalice DS, ND";"";2;"079,153";"";"K"
603;"Koalice DRS, KDU-ČSL";"Koalice DRS, KDU-ČSL";"Koalice DRS, KDU-ČSL";"";2;"001,110";"";"K"
604;"Koalice pro Českou republiku";"Koalice pro Českou republiku";"Koalice pro Českou republiku";"Koal_ČR";6;"002,009,040,157,159,178";"";"K"
605;"Koalice SNK ED, KONS";"Koalice SNK ED, KONS";"Koalice SNK ED, KONS";"";2;"024,129";"";"K"
606;"Koalice VPM, US-DEU";"Koalice VPM, US-DEU";"Koalice VPM, US-DEU";"";2;"102,113";"";"K"
607;"Koalice US-DEU, SZ, ODA, KONS, ČSNS2005";"Koalice US-DEU, SZ, ODA, KONS, ČSNS2005";"K.US-DEU,SZ,ODA,KONS,ČSNS2005";"";5;"005,013,024,102,175";"";"K"
608;"Koalice KDU-ČSL, USZ";"Koalice KDU-ČSL, USZ";"Koalice KDU-ČSL, USZ";"";2;"001,119";"";"K"
609;"Unie Prahy 4";"Unie Prahy 4";"Unie Prahy 4";"Unie_P4";3;"001,102,129";"";"K"
610;"Koalice DEUČR, ODA, KAN";"Koalice DEUČR, ODA, KAN";"Koalice DEUČR, ODA, KAN";"";3;"013,040,157";"";"K"
611;"Koalice SZ, NV";"Koalice SZ,NV";"Koalice SZ, NV";"";2;"005,163";"";"K"
612;"Koalice SNK ED, NEZ";"Koalice SNK ED, NEZ";"Koalice SNK ED, NEZ";"";2;"088,129";"";"K"
613;"Koalice SZ, US-DEU, SNK ED";"Koalice SZ, US-DEU, SNK ED";"Koalice SZ, US-DEU, SNK ED";"";3;"005,102,129";"";"K"
614;"Koalice US-DEU, NEZ/DEM";"Koalice US-DEU, NEZ/DEM";"Koalice US-DEU, NEZ/DEM";"";2;"102,172";"";"K"
615;"Koalice KONS, KČ, SP";"Koalice KONS, KČ, SP";"Koalice KONS, KČ, SP";"";3;"024,055,159";"";"K"
616;"Koalice Z, ODA, US-DEU";"Koalice Z, ODA, US-DEU";"Koalice Z, ODA, US-DEU";"";3;"013,102,177";"";"K"
617;"Koalice ODS, SNK ED";"Koalice ODS, SNK ED";"Koalice ODS, SNK ED";"";2;"053,129";"";"K"
618;"Koalice ODH, SNK ED";"Koalice ODH, SNK ED,";"Koalice ODH, SNK ED";"";2;"129,168";"";"K"
620;"Koalice SOS, SNK ED, Z";"Koalice SOS, SNK ED, Z";"Koalice SOS, SNK ED, Z";"";3;"103,129,177";"";"K"
621;"Koalice SOS, LIB";"Koalice SOS, LIB";"Koalice SOS, LIB";"";2;"103,138";"";"K"
623;"Koalice NEZ, SZ";"Koalice NEZ, SZ";"Koalice NEZ, SZ";"";2;"005,088";"";"K"
624;"Koalice ČSSD, ČSNS2005";"Koalice ČSSD, ČSNS2005";"Koalice ČSSD, ČSNS2005";"";2;"007,175";"";"K"
628;""DOHODA PRO JIŽNÍ MORAVU"";""DOHODA PRO JIŽNÍ MORAVU"";""DOHODA PRO JIŽNÍ MORAVU"";"DOHODAJM";13;"002,009,040,132,159,165,167,172,176,178,701,706,707";"";"K"
629;"Strana zdravého rozumu a Česká strana národně socialistická";"Koalice Rozumní, ČSNS2005";"Koalice Rozumní, ČSNS2005";"Rozum.+ČSNS2005";2;"137,175";"";"K"
631;"Nejen hasiči a živnostníci pro kraj - www.hnpd.cz, www.sdzp.cz";"Nejen has.a živn.pro kraj-www.hnpd.cz,www.sdzp.cz";"Nejen hasiči a živn.pro kraj";"HAS+ŽIVN";2;"165,167";"";"K"
632;"Dělnická strana - za zrušení poplatků ve zdravotnictví";"Dělnická strana-za zrušení poplatků ve zdravotn.";"Děln.str.-zrušení popl.ve zdr.";"DS_POPL";2;"153,156";"";"K"
633;"Dohoda pro změnu";"Dohoda pro změnu";"Dohoda pro změnu";"PROZMENU";4;"002,055,137,178";"";"K"
634;"Alternativa 2008";"Alternativa 2008";"Alternativa 2008";"Alt_2008";3;"102,103,138";"";"K"
635;"Konzervativní koalice";"Konzervativní koalice";"Konzervativní koalice";"KONZKOAL";4;"021,024,055,079";"";"K"
636;"DOHODA pro Ústecký kraj";"DOHODA pro Ústecký kraj";"DOHODA pro Ústecký kraj";"DOHODA_Ú";2;"102,138";"";"K"
637;"Koalice nestraníků";"Koalice nestraníků";"Koalice nestraníků";"KOALNEST";2;"158,181";"";"K"
639;"Šance pro náš kraj";"Šance pro náš kraj";"Šance pro náš kraj";"ŠANCE_OL";3;"102,103,129";"";"K"
640;"STŘEDOČEŠI";"STŘEDOČEŠI";"STŘEDOČEŠI";"STŘEDOČ.";3;"040,102,103";"";"K"
641;"Koalice US-DEU a SOS";"Koalice US-DEU a SOS";"Koalice US-DEU a SOS";"USDEUSOS";2;"102,103";"";"K"
642;"DOHODA pro Vysočinu";"DOHODA pro Vysočinu";"DOHODA pro Vysočinu";"DOHODAVY";3;"102,132,159";"";"K"
643;"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých";"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých";"STAROSTOVÉ A ZHN";"STAN+ZHN";2;"109,166";"";"K"
644;"Koalice US-DEU, SOS a VPM";"Koalice US-DEU, SOS a VPM";"Koalice US-DEU, SOS a VPM";"USSOSVPM";3;"102,103,113";"";"K"
649;"Koalice US-DEU a KAN";"Koalice US-DEU a KAN";"Koalice US-DEU a KAN";"USDEUKAN";2;"040,102";"";"K"
654;"Suverenita";"Suverenita";"Suverenita";"Suveren.";2;"137,192";"";"K"
656;""STAROSTOVÉ A NEZÁVISLÍ - VAŠE ALTERNATIVA"";""STAROSTOVÉ A NEZÁVISLÍ - VAŠE ALTERNATIVA"";""STAR.A NEZ.-VAŠE ALTERNATIVA"";"VAŠEALT.";2;"166,702";"";"K"
657;"Koalice Rozumní a NEZ/DEM";"Koalice Rozumní a NEZ/DEM";"Koalice Rozumní a NEZ/DEM";"";2;"137,172";"";"K"
659;"Koalice STAN, TOP 09";"Koalice STAN, TOP 09";"Koalice STAN, TOP 09";"TOP+STAN";2;"166,721";"";"K"
660;"Koalice TOP 09 a SLK";"Koalice TOP 09 a SLK";"Koalice TOP 09 a SLK";"";2;"703,721";"";"K"
661;"Koalice SPO a SZ";"Koalice SPO a SZ";"Koalice SPO a SZ";"";2;"005,724";"";"K"
663;"Koalice SNK ED a VV";"Koalice SNK ED a VV";"Koalice SNK ED a VV";"";2;"129,144";"";"K"
664;"Koalice VPM a VV";"Koalice VPM a VV";"Koalice VPM a VV";"";2;"113,144";"";"K"
665;"Koalice SZ, US-DEU a TOP 09";"Koalice SZ, US-DEU a TOP 09";"Koalice SZ, US-DEU a TOP 09";"";3;"005,102,721";"";"K"
666;"Koalice DOMOV a Pražané za svá práva";"Koalice DOMOV a Pražané za svá práva";"Koalice DOMOV a PP";"";2;"155,744";"";"K"
667;"Koalice KDU-ČSL, SZ, KONS, KAN, Rozumní, ČPS";"Koalice KDU-ČSL, SZ, KONS, KAN, Rozumní, ČPS";"KDU-ČSL,SZ,KONS,KAN,Rozum.,ČPS";"";6;"001,005,024,040,137,720";"";"K"
668;"Koalice KDU-ČSL, HNHRM";"Koalice KDU-ČSL, HNHRM";"Koalice KDU-ČSL, HNHRM";"";2;"001,112";"";"K"
669;"Koalice SZ, Rozumní a SPO";"Koalice SZ, Rozumní a SPO";"Koalice SZ, Rozumní a SPO";"";3;"005,137,724";"";"K"
670;"Koalice VV, SZ a NV";"Koalice VV, SZ a NV";"Koalice VV, SZ a NV";"";3;"005,144,163";"";"K"
671;"Koalice DSZ a SPO";"Koalice DSZ a SPO";"Koalice DSZ a SPO";"";2;"715,724";"";"K"
